price,carat,cut,color,clarity,table,length,width,depth
7056,1.5,Fair,F,SI2,57,7.15,7.09,4.65
1140,0.38,Premium,D,VS1,59,4.63,4.6,2.88
6673,1.06,Premium,F,VS2,60,6.58,6.53,4.05
12991,1.58,Ideal,F,SI1,56,7.57,7.64,4.58
552,0.3,Very Good,D,SI1,60,4.26,4.32,2.63
12810,1.57,Ideal,H,VS1,55,7.44,7.49,4.64
493,0.23,Ideal,F,VS2,55,3.93,3.96,2.43
2382,0.7,Very Good,F,SI1,58,5.64,5.7,3.54
3827,0.77,Ideal,E,SI1,56,5.92,5.94,3.62
2031,0.71,Ideal,G,SI2,56,5.7,5.72,3.53
8374,1,Good,D,VVS2,62,6.42,6.46,3.88
6368,1.04,Ideal,H,VS1,54,6.52,6.54,4.05
3925,1.03,Ideal,I,SI2,57,6.46,6.5,4.03
3774,0.83,Ideal,F,SI1,55,6.03,6.07,3.75
7109,1.11,Ideal,G,VS2,56,6.62,6.66,4.1
3008,0.61,Ideal,G,VVS1,56,5.46,5.48,3.35
14386,1.5,Premium,E,VS2,60,7.41,7.32,4.47
1013,0.3,Premium,E,VVS2,59,4.37,4.32,2.61
552,0.24,Very Good,E,VVS2,56,3.92,3.97,2.49
844,0.3,Ideal,E,VVS1,57,4.29,4.32,2.67
1246,0.53,Good,E,SI1,59,5.39,5.37,3.05
8788,1.12,Very Good,E,VS1,58,6.69,6.73,4.08
608,0.3,Premium,H,VS2,59,4.28,4.23,2.66
5661,1.07,Very Good,H,VS1,56,6.52,6.6,4.1
777,0.28,Very Good,D,VVS2,52,4.21,4.25,2.63
798,0.35,Ideal,G,VVS2,57,4.54,4.58,2.78
12031,1.07,Ideal,E,VVS2,56,6.57,6.62,4.04
2418,0.72,Premium,H,VS2,57,5.84,5.78,3.58
15766,2.11,Ideal,J,VS1,56.2,8.2,8.23,5.07
2512,0.7,Very Good,G,VS1,56,5.72,5.76,3.49
918,0.32,Ideal,G,IF,56,4.39,4.42,2.72
13234,1.51,Ideal,G,VS2,56,7.32,7.35,4.55
4143,0.91,Very Good,H,VVS2,56,6.11,6.13,3.89
5866,1.21,Very Good,I,VS1,58,6.85,6.91,4.21
1237,0.53,Very Good,G,SI1,55,5.21,5.34,3.23
1723,0.56,Premium,D,SI1,58,5.27,5.33,3.28
4869,1.16,Ideal,I,VS2,56,6.84,6.88,4.07
5939,1,Very Good,G,VS2,56,6.47,6.38,3.93
5551,1.07,Ideal,G,SI1,56,6.52,6.56,4.07
1217,0.4,Very Good,F,IF,57,4.73,4.77,2.9
1063,0.35,Ideal,E,VS1,56,4.55,4.53,2.78
4036,1,Very Good,F,SI2,58,6.31,6.25,3.98
3605,1.01,Very Good,D,SI2,63,6.54,6.59,3.88
2064,0.98,Premium,I,I1,60,6.31,6.25,3.93
1656,0.51,Ideal,G,VS1,55,5.11,5.21,3.15
1202,0.51,Good,D,SI2,60,5.31,5.26,3.05
770,0.36,Premium,F,SI1,58,4.6,4.54,2.81
2116,0.55,Ideal,G,VVS1,56,5.24,5.27,3.29
1697,0.7,Good,H,SI2,58,5.56,5.6,3.58
594,0.33,Premium,E,SI2,59,4.49,4.47,2.69
4922,0.91,Very Good,H,VS2,57,6.15,6.21,3.87
4077,1.12,Premium,H,SI2,59,6.72,6.66,4.08
972,0.32,Ideal,E,VS1,56,4.42,4.39,2.72
648,0.32,Ideal,H,VS2,55,4.44,4.4,2.71
15014,1.73,Very Good,G,VS1,57,7.57,7.72,4.8
10534,1.71,Premium,H,SI2,58,7.66,7.62,4.76
2717,0.7,Fair,H,VVS2,65,5.52,5.45,3.54
1422,0.43,Ideal,F,VVS1,55,4.85,4.81,3
1624,0.5,Very Good,G,VS1,59,5.09,5.14,3.12
6685,1.07,Ideal,I,VVS1,57,6.56,6.6,4.1
7923,1.63,Ideal,H,SI2,57,7.59,7.52,4.71
4985,1.15,Premium,G,SI2,60,6.69,6.66,4.15
5498,1.03,Very Good,D,SI1,58,6.44,6.49,4.05
1370,0.5,Ideal,H,VS1,53,5.11,5.16,3.18
802,0.31,Ideal,H,VVS2,55,4.37,4.36,2.72
16656,2.24,Premium,H,SI2,57,8.43,8.35,5.15
3283,0.72,Ideal,E,VS1,57,5.69,5.72,3.57
1561,0.59,Ideal,F,SI1,57,5.41,5.34,3.33
620,0.3,Premium,H,VVS1,58,4.35,4.38,2.65
1355,0.53,Good,E,SI1,56,5.15,5.19,3.26
5899,1.2,Premium,H,SI1,59,6.73,6.7,4.19
4383,1,Very Good,F,SI2,55,6.39,6.44,3.99
734,0.31,Ideal,D,VS2,57,4.31,4.36,2.71
2822,0.7,Premium,D,SI1,60,5.82,5.75,3.48
516,0.31,Good,F,SI1,57,4.28,4.31,2.71
4812,1.24,Ideal,I,SI2,57,6.98,6.92,4.22
4466,0.9,Very Good,D,SI1,59,6.12,6.18,3.86
1181,0.5,Ideal,E,SI2,55,5.08,5.05,3.18
7457,1.07,Very Good,G,VVS2,57,6.55,6.59,4.05
2450,0.71,Good,D,SI1,62,5.93,5.89,3.37
597,0.4,Ideal,F,SI2,53,4.71,4.76,2.96
1017,0.4,Very Good,E,VVS2,59,4.74,4.78,2.87
1063,0.35,Ideal,D,VS2,57,4.56,4.51,2.83
2742,0.51,Ideal,D,VVS2,56,5.16,5.14,3.18
7986,1.24,Ideal,G,VVS2,56,6.87,6.83,4.24
9391,1.54,Ideal,H,SI1,56,7.47,7.42,4.56
5334,1.27,Fair,H,SI2,54,6.78,6.71,4.41
381,0.26,Very Good,F,VS2,55,4.05,4.08,2.54
3447,0.9,Very Good,H,SI1,63,6.06,6.13,3.8
2193,0.59,Ideal,H,VVS1,55,5.38,5.41,3.35
3084,0.9,Very Good,E,SI2,62,6.02,6,3.81
1125,0.4,Ideal,G,VS1,55,4.78,4.75,2.92
4374,1.07,Ideal,F,SI2,55,6.53,6.58,4.06
862,0.3,Ideal,E,VVS1,55,4.31,4.32,2.69
814,0.32,Ideal,G,VVS1,55,4.43,4.45,2.71
863,0.41,Ideal,I,VVS1,56,4.8,4.85,2.96
765,0.34,Ideal,H,VS1,57,4.48,4.45,2.8
5147,1.01,Premium,D,SI1,61,6.4,6.34,3.77
13291,1.55,Ideal,E,SI1,56,7.4,7.36,4.54
992,0.42,Premium,E,SI1,59,4.78,4.74,2.99
3349,0.91,Good,D,SI2,62,6.06,6.01,3.87
7564,1.07,Ideal,F,VS2,54,6.59,6.62,4.03
1415,0.5,Very Good,E,SI1,59,5.03,4.99,3.17
3710,0.71,Ideal,F,VS1,57,5.76,5.78,3.51
4207,1.02,Premium,H,SI2,59,6.5,6.54,3.9
544,0.31,Ideal,H,VS1,56,4.34,4.36,2.68
9261,1.11,Ideal,G,VS1,55,6.67,6.71,4.1
858,0.3,Very Good,F,VVS1,61,4.39,4.42,2.56
12338,2.01,Ideal,I,SI2,57,8.07,8.03,5
3819,1,Good,H,VS2,57,6.32,6.26,4.02
461,0.24,Very Good,F,VS1,57,4.01,4.04,2.45
4269,1.01,Ideal,G,SI2,56,6.4,6.44,4.03
8888,1,Premium,E,VVS2,59,6.42,6.46,3.97
13621,2.03,Good,G,SI2,65,8.17,7.92,5.06
1187,0.41,Ideal,E,VVS2,57,4.81,4.85,2.9
981,0.43,Very Good,E,VS2,56,4.79,4.86,3.03
603,0.37,Ideal,H,VS2,54,4.64,4.65,2.88
4229,1.02,Very Good,H,SI2,60,6.3,6.38,3.97
911,0.3,Premium,D,VS2,58,4.35,4.32,2.64
450,0.3,Ideal,H,SI1,58,4.31,4.33,2.63
789,0.3,Ideal,H,IF,55,4.27,4.3,2.66
504,0.29,Good,F,VS1,54,4.21,4.24,2.72
4022,0.91,Ideal,I,VS1,56,6.2,6.23,3.85
608,0.33,Very Good,D,SI1,56,4.39,4.43,2.77
1071,0.37,Premium,D,VVS2,60,4.61,4.64,2.82
2362,0.7,Good,F,VS2,58,5.61,5.65,3.54
1709,0.51,Very Good,G,VS1,57,5.08,5.04,3.21
4816,0.91,Premium,D,SI1,58,6.31,6.28,3.79
921,0.42,Very Good,F,VS1,57,4.85,4.89,2.91
2318,0.65,Very Good,H,VVS1,58,5.57,5.62,3.42
950,0.3,Ideal,D,VVS2,56,4.42,4.38,2.62
1546,0.51,Ideal,E,SI1,57,5.24,5.2,3.11
646,0.42,Good,F,SI2,56,4.76,4.72,3.04
16642,2.03,Ideal,H,SI2,55,8.18,8.12,5.02
1061,0.41,Good,I,VVS2,55,4.74,4.71,3.02
8599,1.43,Ideal,G,SI1,57,7.17,7.12,4.49
2863,0.71,Ideal,E,VS2,55,5.79,5.75,3.52
9088,1.41,Good,H,VS2,60,7.04,7.12,4.52
6275,1,Good,E,SI1,58,6.43,6.41,3.92
11379,1.53,Very Good,F,VS1,58,7.33,7.3,4.62
2066,0.56,Premium,D,VS2,58,5.34,5.3,3.25
666,0.33,Ideal,F,VS2,55,4.4,4.42,2.76
820,0.39,Ideal,I,VVS1,53.1,4.68,4.7,2.93
589,0.32,Good,D,SI1,56,4.34,4.38,2.75
4773,0.9,Ideal,G,VS2,56,6.19,6.26,3.84
1235,0.7,Very Good,I,I1,59,5.62,5.59,3.54
5783,1.06,Very Good,H,VS2,57,6.47,6.49,4.05
4768,1.11,Premium,G,SI1,58,6.73,6.63,4.1
11589,1.25,Very Good,G,VVS1,58,6.97,7.04,4.22
8736,1.5,Ideal,G,SI2,56,7.38,7.34,4.52
5832,1.31,Premium,I,VS2,59,7.16,7.05,4.29
837,0.31,Premium,E,VVS2,57,4.41,4.39,2.66
3597,1.01,Fair,I,VS2,58,6.14,6,4.19
1963,0.56,Ideal,D,VS2,57,5.25,5.28,3.27
2512,0.52,Ideal,E,VS1,57,5.21,5.18,3.19
990,0.44,Premium,G,SI1,60,4.95,4.86,2.95
820,0.37,Very Good,D,VS1,58,4.66,4.7,2.86
7637,1.51,Very Good,J,SI1,59,7.22,7.28,4.52
3750,0.93,Premium,H,SI1,59,6.27,6.23,3.86
14844,1.51,Premium,E,VS2,60,7.46,7.37,4.5
6559,1.21,Good,G,VVS2,55,6.74,6.65,4.28
4234,0.9,Premium,H,VS1,59,6.14,6.09,3.8
2940,1.24,Very Good,J,I1,55,6.85,6.92,4.26
2192,0.5,Ideal,E,VS1,57,5.11,5.13,3.16
990,0.32,Premium,F,VVS1,60,4.35,4.32,2.72
18050,2.02,Ideal,H,VS2,56,8.17,8.12,5.02
599,0.26,Good,E,VVS2,59,4.04,4.08,2.56
5273,1.14,Premium,G,SI1,59,6.68,6.62,4.19
4249,0.92,Ideal,G,SI1,55,6.22,6.24,3.9
3288,0.73,Very Good,G,VVS2,58,5.83,5.86,3.59
9279,1.36,Ideal,H,VS2,57,7.2,7.22,4.32
773,0.42,Good,E,SI1,56,4.74,4.82,3.03
15348,1.52,Ideal,E,VS2,55,7.32,7.42,4.6
13428,1.5,Ideal,G,VS2,59,7.37,7.32,4.5
3140,0.72,Good,E,VS2,62,5.73,5.78,3.5
4950,0.98,Ideal,F,SI1,55,6.37,6.27,3.96
12831,2.26,Ideal,G,SI2,57,8.44,8.36,5.2
465,0.23,Very Good,E,VVS2,59,3.93,3.95,2.47
5508,1.02,Very Good,E,SI1,61,6.42,6.35,4.03
6252,1.39,Ideal,J,VS2,57,7.24,7.26,4.37
767,0.35,Ideal,E,VS2,56,4.51,4.53,2.81
1010,0.32,Ideal,F,IF,55,4.38,4.4,2.73
1754,0.54,Ideal,E,VS2,56,5.25,5.28,3.21
4341,0.95,Premium,D,SI2,61,6.37,6.35,3.82
911,0.39,Ideal,H,VVS2,54,4.7,4.73,2.92
775,0.34,Very Good,G,VVS2,59,4.46,4.5,2.74
15467,2.01,Good,H,SI1,59,7.81,7.91,5.02
3881,0.9,Good,H,VS2,58,6.11,6.09,3.88
641,0.3,Good,F,SI1,62,4.45,4.39,2.53
462,0.31,Good,D,SI2,54,4.33,4.38,2.75
667,0.4,Ideal,I,VS2,55,4.73,4.75,2.95
7235,1.51,Premium,H,SI2,62,7.47,7.31,4.39
3113,0.82,Ideal,I,VS1,57,6.02,6.07,3.7
523,0.31,Premium,G,SI2,57,4.37,4.33,2.71
3353,0.74,Premium,D,VS2,60,5.89,5.91,3.5
1289,0.5,Very Good,E,SI1,55,5.02,5.1,3.21
4771,1.01,Premium,H,SI1,58,6.49,6.45,3.93
394,0.3,Good,F,SI2,57,4.22,4.25,2.69
4539,1.1,Very Good,E,SI2,60,6.61,6.66,4.04
975,0.4,Ideal,E,VS2,56,4.75,4.72,2.95
2302,0.52,Ideal,D,VVS2,56,5.23,5.2,3.2
900,0.4,Premium,G,SI1,59,4.71,4.67,2.94
4362,0.72,Ideal,F,VVS1,56,5.78,5.8,3.53
6885,1.31,Very Good,I,VS1,58,6.99,7.03,4.37
680,0.31,Premium,E,VS2,59,4.35,4.39,2.62
1310,0.52,Very Good,I,VS1,58,5.18,5.22,3.17
1947,0.7,Fair,F,SI2,57,5.6,5.57,3.61
378,0.23,Very Good,E,VS1,62,3.93,3.99,2.39
2268,0.7,Good,I,VS2,65,5.6,5.56,3.56
14224,2.05,Premium,J,VS1,58,8.08,8.13,5.06
2930,0.71,Ideal,G,VS1,57,5.69,5.73,3.58
4851,1,Premium,F,SI1,60,6.48,6.51,3.88
606,0.4,Very Good,J,VS1,57,4.69,4.72,2.92
1378,0.5,Very Good,D,VS2,60,5.15,5.05,3.17
8808,1.6,Premium,I,SI1,59,7.56,7.61,4.57
15939,2.01,Premium,I,VS2,62,8.13,8.08,4.89
1313,0.41,Very Good,F,IF,58,4.75,4.79,2.94
3725,0.92,Premium,I,VS1,58,6.23,6.27,3.84
743,0.33,Ideal,I,VVS2,54,4.45,4.42,2.78
7458,1.01,Ideal,E,VS1,59,6.52,6.5,3.93
5141,1.01,Ideal,G,SI1,55,6.46,6.43,3.98
599,0.38,Very Good,G,SI1,60,4.83,4.88,2.79
943,0.3,Ideal,E,IF,53,4.29,4.33,2.7
2036,0.71,Very Good,F,SI2,56,5.8,5.83,3.54
2487,0.7,Ideal,I,VVS2,56.5,5.65,5.72,3.51
1838,0.46,Very Good,F,VVS1,56,4.94,4.98,3.09
16921,1.54,Premium,D,VS2,59,7.33,7.29,4.58
3033,0.76,Ideal,E,SI1,57,5.8,5.82,3.63
8227,1.31,Ideal,F,SI1,57,6.96,6.88,4.32
5572,0.95,Very Good,G,VS1,58,6.37,6.41,3.83
5637,1.25,Premium,J,VS1,58,6.88,6.92,4.29
1039,0.4,Ideal,F,VVS2,57,4.8,4.73,2.91
4313,1.06,Ideal,I,SI1,56,6.49,6.53,4.05
1170,0.32,Ideal,E,IF,55,4.41,4.38,2.75
4864,0.96,Premium,E,SI1,60,6.44,6.39,3.85
423,0.26,Very Good,G,VS2,57,4.11,4.15,2.55
1014,0.42,Ideal,E,VS1,57,4.78,4.81,2.96
3407,0.9,Very Good,I,SI1,56,6.19,6.24,3.84
9416,1.57,Ideal,H,SI1,55,7.47,7.51,4.63
2843,0.71,Very Good,E,VS2,58,5.76,5.82,3.44
2376,0.72,Premium,E,SI2,58,5.74,5.68,3.59
672,0.32,Very Good,E,SI1,56,4.34,4.31,2.74
6159,1.01,Very Good,F,VS2,57,6.4,6.48,3.96
1031,0.42,Ideal,D,VS2,56,4.8,4.84,2.98
1431,0.51,Ideal,D,SI1,56,5.15,5.16,3.17
18124,2.1,Ideal,F,SI2,60,8.22,8.2,5.01
5544,1,Very Good,E,VS2,62,6.33,6.39,3.97
631,0.33,Premium,D,SI2,59,4.5,4.48,2.67
5027,1.25,Premium,H,SI1,58,7.04,6.99,4.26
5637,1.25,Very Good,H,SI2,62,6.84,6.95,4.22
8654,1.43,Very Good,H,SI1,59,7.23,7.29,4.48
684,0.36,Ideal,E,VS2,57,4.55,4.59,2.82
1021,0.36,Ideal,F,VVS1,54,4.59,4.62,2.83
2822,0.7,Good,E,SI1,64,5.71,5.66,3.49
4187,0.96,Very Good,I,VS2,59,6.36,6.42,3.81
4368,1.3,Premium,H,SI2,59,7.06,7,4.27
2110,0.7,Ideal,I,SI1,55,5.7,5.73,3.57
1211,0.51,Premium,E,SI2,56,5.21,5.17,3.15
626,0.34,Ideal,D,SI1,56,4.45,4.48,2.8
4598,1.38,Good,J,SI2,58,7.06,7.01,4.48
1013,0.36,Ideal,E,VS2,55,4.58,4.54,2.83
16261,2.04,Ideal,F,SI2,57,8.05,8.13,5.04
1070,0.51,Very Good,F,SI2,56,5.06,5.08,3.18
2332,0.71,Very Good,I,VS1,57,5.75,5.8,3.53
828,0.32,Premium,F,VS2,58,4.48,4.44,2.65
1076,0.41,Ideal,F,VS1,57,4.76,4.75,2.97
666,0.33,Ideal,G,VS1,56,4.4,4.42,2.74
2056,0.7,Premium,G,SI2,60,5.81,5.79,3.37
1356,0.54,Very Good,F,SI1,60,5.13,5.12,3.23
5973,1.21,Ideal,H,SI1,57,6.86,6.93,4.22
816,0.39,Ideal,I,VS1,54,4.67,4.7,2.92
445,0.27,Very Good,H,VVS2,58,4.16,4.2,2.56
3544,0.95,Very Good,I,SI1,61,6.29,6.37,3.86
4616,1.01,Premium,F,SI2,60,6.42,6.36,3.94
4241,1.05,Very Good,G,SI2,60,6.49,6.56,4.02
1230,0.41,Ideal,D,VS1,57,4.8,4.75,2.95
3175,0.71,Very Good,F,VS1,55,5.68,5.71,3.58
2282,0.74,Very Good,E,SI2,58,5.73,5.77,3.62
1428,0.53,Premium,F,SI1,59,5.23,5.16,3.22
397,0.26,Very Good,G,VS2,57,4.09,4.12,2.56
449,0.24,Very Good,H,VVS2,57,4.01,4.04,2.46
1333,0.4,Ideal,E,VVS1,56,4.7,4.73,2.95
3832,1.04,Premium,H,SI2,58,6.5,6.52,4.04
5140,1.3,Premium,J,SI2,61,7,6.95,4.26
581,0.39,Good,J,VS2,56,4.6,4.63,2.92
1662,0.54,Premium,D,SI1,60,5.22,5.24,3.16
4685,1.01,Ideal,I,VS2,61,6.49,6.53,3.9
367,0.24,Very Good,E,VS2,57,3.88,3.93,2.52
851,0.35,Ideal,E,VS1,56,4.53,4.55,2.81
772,0.4,Very Good,D,SI1,56,4.72,4.83,2.93
7076,1.5,Premium,D,SI2,59,7.54,7.46,4.47
5886,0.92,Ideal,H,VVS1,54,6.26,6.23,3.88
1625,0.52,Good,E,VS2,56,5.02,5.14,3.27
3541,1.52,Premium,I,I1,58,7.43,7.35,4.52
4816,1,Premium,H,SI1,60,6.5,6.44,3.77
2013,0.63,Ideal,D,VS2,54,5.54,5.58,3.42
6548,1.06,Ideal,G,VS2,57,6.56,6.59,4.02
4479,1.01,Good,F,SI1,58,6.31,6.4,4.02
540,0.32,Good,F,SI2,55,4.35,4.34,2.77
2751,0.71,Ideal,G,SI1,56.4,5.76,5.8,3.5
974,0.34,Ideal,G,IF,57,4.51,4.55,2.75
1929,0.7,Good,E,SI2,59,5.68,5.56,3.59
1621,0.52,Ideal,E,VS2,57,5.12,5.14,3.2
9000,1.05,Ideal,G,VVS2,54,6.6,6.65,4
717,0.31,Ideal,H,VS1,55,4.36,4.41,2.69
854,0.33,Very Good,G,VS1,57,4.4,4.38,2.77
2068,0.57,Ideal,E,VS1,57,5.37,5.32,3.28
9836,1.23,Premium,D,VS2,59,7.03,6.96,4.15
4536,1.13,Premium,I,SI1,59,6.65,6.68,4.12
1741,0.57,Good,F,VS1,61,5.49,5.54,3.21
453,0.31,Premium,J,SI1,62,4.47,4.44,2.59
9023,1.16,Very Good,G,VVS1,56,6.77,6.83,4.13
491,0.3,Good,G,VS2,58,4.23,4.27,2.68
1071,0.51,Fair,G,SI1,55,5.04,5.02,3.28
1640,0.63,Very Good,H,VS2,59.2,5.48,5.51,3.36
3906,1.01,Very Good,J,SI2,59,6.34,6.37,3.99
2215,0.71,Good,E,SI2,60,5.86,5.83,3.38
626,0.34,Good,D,SI1,57,4.44,4.46,2.81
11066,1.52,Premium,H,VS2,59,7.45,7.38,4.53
1017,0.5,Good,H,SI1,58,4.97,4.99,3.21
462,0.31,Very Good,D,SI2,60,4.31,4.34,2.66
12547,1.57,Good,G,VS2,60,7.66,7.6,4.41
3346,0.91,Premium,F,SI2,57,6.16,6.11,3.86
972,0.32,Ideal,D,VS2,57,4.41,4.39,2.74
680,0.31,Ideal,E,VS2,56,4.34,4.36,2.69
5385,1,Ideal,I,VS1,55,6.49,6.52,3.93
636,0.31,Ideal,D,VS2,55,4.32,4.38,2.7
504,0.32,Ideal,J,VS2,57,4.38,4.36,2.72
1030,0.38,Very Good,F,VVS1,58,4.58,4.61,2.93
6084,1.16,Ideal,H,SI1,54,6.74,6.81,4.19
4158,1.12,Ideal,G,SI2,54,6.7,6.64,4.19
17254,2.12,Premium,I,VS2,58,8.3,8.26,5.09
2803,0.71,Ideal,G,VS2,56,5.75,5.71,3.51
1007,0.41,Premium,F,VS1,60,4.71,4.77,2.96
4243,1.02,Ideal,H,SI2,56,6.53,6.57,3.96
9176,1.2,Ideal,F,VS2,57,6.71,6.76,4.22
2088,0.71,Ideal,D,SI2,57,5.7,5.73,3.57
873,0.41,Very Good,H,VVS2,54,4.75,4.77,2.97
8190,1.5,Premium,E,SI2,58,7.2,7.17,4.43
815,0.37,Ideal,G,VVS2,55,4.62,4.66,2.86
1719,0.58,Ideal,G,VS2,55,5.42,5.45,3.3
8256,1.17,Premium,F,VS2,58,6.88,6.85,4.13
4098,0.95,Very Good,J,VVS2,59,6.33,6.36,3.84
10490,2.01,Very Good,J,SI2,56,7.86,7.96,5.01
4964,1.08,Ideal,H,SI1,57,6.55,6.51,4.1
8733,1.22,Premium,F,VS2,58,6.89,6.86,4.26
4462,1.02,Fair,H,VS2,61,6.32,6.24,4.06
1014,0.33,Very Good,F,IF,58,4.49,4.46,2.7
7715,1.23,Premium,D,SI1,58,6.85,6.79,4.27
15941,1.7,Premium,G,VS2,60,7.72,7.64,4.63
2741,0.82,Very Good,E,SI1,57,5.92,5.97,3.76
16507,1.62,Ideal,E,VS2,57,7.58,7.54,4.64
7414,1.25,Very Good,H,VS2,54,7,7.03,4.23
4337,1.01,Very Good,J,VS2,59,6.42,6.45,3.9
3656,1.02,Good,H,SI2,57,6.41,6.37,4.09
5171,0.93,Ideal,H,VS1,57,6.23,6.27,3.86
5962,1.11,Ideal,E,SI2,56,6.76,6.78,4.1
4355,0.96,Ideal,G,SI1,57,6.28,6.24,3.92
6509,1.02,Ideal,F,VS2,57,6.42,6.33,4.01
14014,1.67,Ideal,H,VS1,56,7.6,7.57,4.69
760,0.42,Ideal,H,SI1,56,4.89,4.86,2.97
7724,1.02,Very Good,G,VVS2,59,6.34,6.42,3.99
704,0.3,Very Good,F,VS1,63,4.26,4.31,2.61
2002,0.71,Fair,E,SI2,63,5.63,5.51,3.61
5775,1,Premium,D,SI1,58,6.37,6.43,3.93
2809,0.81,Premium,D,SI2,57,6.15,6.05,3.61
18485,2.57,Premium,J,SI1,58,8.77,8.65,5.49
8869,1.51,Fair,E,SI1,62,7.16,7.09,4.65
4081,1,Good,F,SI2,57,6.29,6.34,3.96
12095,2.54,Very Good,I,SI2,56,8.68,8.64,5.49
2762,0.8,Premium,F,SI2,58,5.98,5.94,3.68
